순위,관광지명,주소,분류
1,대전역,대전 동구 중앙로 215-0,교통시설
2,현대프리미엄아울렛대전점,대전 유성구 테크노중앙로 123-0,쇼핑몰
3,신세계백화점대전신세계Art&Science,대전 유성구 엑스포로 1-0,백화점
4,대전복합터미널서관,대전 동구 동서대로 1689-0,교통시설
5,갤러리아백화점타임월드점,대전 서구 대덕대로 211-0,백화점
6,롯데백화점대전점,대전 서구 계룡로 598-0,백화점
7,서대전역,대전 중구 오류로 23-0,교통시설
8,오정농수산물도매시장,대전 대덕구 한밭대로 987-0,시장
9,대전오월드,대전 중구 사정공원로 70-0,테마공원
10,신탄진역,대전 대덕구 신탄진로 807-0,교통시설
11,NC백화점대전유성점,대전 유성구 계룡로 119-0,백화점
12,한화생명이글스파크,대전 중구 대종로 373-0,레저스포츠시설
13,대전신세계Art&Science,대전 유성구 엑스포로 1-0,백화점
14,한밭수목원,대전 서구 둔산대로 169-0,자연공원
15,우리들공원,대전 중구 중앙로138번길 30-0,도시공원
16,장태산자연휴양림,대전 서구 장안로 461-0,자연공원
17,대전월드컵경기장,대전 유성구 월드컵대로 32-0,레저스포츠시설
18,국립중앙과학관,대전 유성구 대덕대로 481-0,전시시설
19,노은농수산물도매시장,대전 유성구 노은동로 33-0,시장
20,대전중앙시장,대전 동구 대전로785번길 26-0,시장
